Lot #,Vehicle ID,Tow Reference ,Year,Make,Model,VIN,Mileage,Reason,K,Comments
384,2734989,15545,2007,DODGE,CALIBER,1B3HB48B87D527993,,ABANDONED,,
192,2726851,15185,2002,DODGE,RAM,1D7HA18N42J180222,,ILLEGALLY PARKED,,
206,2731158,15377,2004,LEXUS,ES 330,JTHBA30G045038887,,ACCIDENT,K,
92,2732580,15459,2002,NISSAN,PATHFINDER,JN8DR09Y42W716369,STARTS,ARREST,K,STARTS
272,2708831,14383,2010,CHEVROLET,HHR,3GNBABDB7AS512918,,ACCIDENT,K,
139,2699692,13999,2005,CHEVROLET,TRAIL BLAZER,1GNDT13S252240522,,ABANDONED,,
317,2696872,900818,2006,JAGUAR,S-TYPE,SAJWA01A06FN54015,,KCIPD,,
498,2717971,14782,2008,KIA,SEDONA,KNDMB133486264502,,ACCIDENT,K,
528,2730219,15341,2002,GMC,YUKON XL 1500,1GKFK16Z02J137621,,ACCIDENT,,
377,2721422,14942,2002,MERCURY,MOUNTAINEER,4M2ZU86E92UJ16655,,ACCIDENT,,
484,2709958,14448,2010,HYUNDAI,ELANTRA,KMHDU4AD2AU927103,,ACCIDENT,,
15,2733778,15504,2004,MITSUBISHI,ECLIPSE,4A3AE45G04E036599,,ARREST,,
249,2719988,14885,1998,DODGE,GRAND CARA,1B4GP54L0WB681508,,ACCIDENT,,
413,2716989,14733,2004,FORD,EXPLORER,1FMZU72KX4ZA07425,,ARREST,K,
505,2720374,14899,2001,HONDA,CIVIC,1HGEM229X1L016547,,ILLEGALLY PARKED,,
417,2724446,15082,2017,HONDA,OTHER,MLHNC5307H5002474,,ACCIDENT,K,
416,2717202,14743,2002,ACURA,TL,19UUA56652A038636,,ILLEGALLY PARKED,,
237,2721688,14955,1994,BUICK,ROADMASTER,1G4BT52P5RR405265,,OTHER,,
436,2713854,14624,2002,BMW,7 SERIES,WBAGL63482DP50231,,ABANDONED,,
256,2700171,14017,1998,CHEVROLET,MALIBU,1G1NE52M3W6247743,,ARREST,K,
202,2703005,14157,2010,CHEVROLET,COBALT,1G1AA1F5XA7213551,,ACCIDENT,K,
457,2697759,13918,2000,TOYOTA,SIENNA,4T3ZF13C6YU288745,,ABANDONED,,
11,2689917,13526,2004,CHEVROLET,IMPALA,2G1WF52EX49377695,,ACCIDENT,K,
482,2709924,14443,2003,HONDA,PILOT,2HKYF18493H571895,,ACCIDENT,,
